Case Number,Date,Year,Type,Country,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,
2018.06.25,25-Jun-18,2018,Boating,USA,California,Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark,
2018.06.18,18-Jun-18,2018,Unprovoked,USA,Georgia,Standing,F,11,Minor injury to left thigh,N,14h00  -15h00,,
2018.06.09,9-Jun-18,2018,Invalid,USA,Hawaii,Surfing,M,48,Injury to left lower leg from surfboard skeg,N,07h45,,
2018.06.08,8-Jun-18,2018,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,,Minor injury to lower leg,N,,2 m shark,
2018.06.04,4-Jun-18,2018,Provoked,MEXICO,Colima,Free diving,M,,Lacerations to leg & hand shark PROVOKED INCIDENT,N,,"Tiger shark, 3m",
2018.06.03.b,3-Jun-18,2018,Unprovoked,AUSTRALIA,New South Wales,Kite surfing,M,,"No injury, board bitten",N,,,
2018.06.03.a,3-Jun-18,2018,Unprovoked,BRAZIL,Pernambuco,Swimming,M,18,FATAL,Y,Late afternoon,Tiger shark,
2018.05.27,27-May-18,2018,Unprovoked,USA,Florida,Fishing,M,52,Minor injury to foot. PROVOKED INCIDENT,N,,"Lemon shark, 3'",
2018.05.26.b,26-May-18,2018,Unprovoked,USA,Florida,Walking,M,15,Lower left leg bitten,N,17h00,"Bull shark, 6'",
2018.05.26.a,26-May-18,2018,Unprovoked,USA,Florida,Standing,M,12,Minor injury to foot,N,14h00,,
2018.05.24,24-May-18,2018,Provoked,AUSTRALIA,Queensland,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark,
2018.05.21,21-May-18,2018,Unprovoked,USA,South Carolina,Boogie boarding,M,10,Injuries to lower right leg and foot,N,,,
2018.05.13.b,13-May-18,2018,Unprovoked,USA,South Carolina,Swimming,M,10,Severe bite to right forearm,N,15h00,,
2018.05.13.a,13-May-18,2018,Invalid,ENGLAND,Cornwall,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident,
2018.05.00,18-May,2018,Provoked,AUSTRALIA,Westerm Australia,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Tawny nurse shark, 2m",
2018.05.12,12-May-18,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,,"Minor injury, marks on board",N,11h00,,
2018.05.09,9-May-18,2018,Questionable,AUSTRALIA,New South Wales,Surfing,M,,"No injury, surfboard damaged",N,10h30,Shark involvement not confirmed,
